,,,,,,0009.097,V,,,,,0.00,0.00,060180,,,N*2024-03-03T12:10:14.386490 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$CDACK,34,0*79
2024-03-03T12:10:14.386560 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$CDACK,103*50
2024-03-03T12:10:14.417646 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$CDACK,105*56
2024-03-03T12:10:14.417684 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$PMTK011,MTKGPS*08
2024-03-03T12:10:15.165770 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$PMTK010,001*2E
2024-03-03T12:10:15.165818 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$PMTK011,MTKGPS*08
2024-03-03T12:10:15.199633 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$PMTK010,002*2D
2024-03-03T12:10:15.233612 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNGGA,235943.098,,,,,0,0,,,M,,M,,*5D
2024-03-03T12:10:15.265212 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2024-03-03T12:10:15.299605 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GLGSA,A,1,,,,,,,,,,,,,,,*02
2024-03-03T12:10:15.334280 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNRMC,235943.098,V,,,,,0.00,0.00,050180,,,N*54
2024-03-03T12:10:15.365237 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNVTG,0.00,T,,M,0.00,N,0.00,K,N*2C
2024-03-03T12:10:16.204753 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNGGA,235944.097,,,,,0,0,,,M,,M,,*55
2024-03-03T12:10:16.270167 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2024-03-03T12:10:16.304600 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GLGSA,A,1,,,,,,,,,,,,,,,*02
2024-03-03T12:10:16.304664 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNRMC,235944.097,V,,,,,0.00,0.00,050180,,,N*5C
2024-03-03T12:10:16.370197 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNVTG,0.00,T,,M,0.00,N,0.00,K,N*2C
2024-03-03T12:10:17.212314 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNGGA,235945.097,,,,,0,0,,,M,,M,,*54
2024-03-03T12:10:17.246238 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2024-03-03T12:10:17.280643 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GLGSA,A,1,,,,,,,,,,,,,,,*02
2024-03-03T12:10:17.312251 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNRMC,235945.097,V,,,,,0.00,0.00,050180,,,N*5D
2024-03-03T12:10:17.380612 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNVTG,0.00,T,,M,0.00,N,0.00,K,N*2C
2024-03-03T12:10:18.220317 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNGGA,235946.097,,,,,0,0,,,M,,M,,*57
2024-03-03T12:10:18.251647 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2024-03-03T12:10:18.286206 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GLGSA,A,1,,,,,,,,,,,,,,,*02
2024-03-03T12:10:18.320623 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNRMC,235946.097,V,,,,,0.00,0.00,050180,,,N*5E
2024-03-03T12:10:18.386202 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNVTG,0.00,T,,M,0.00,N,0.00,K,N*2C
2024-03-03T12:10:19.229321 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNGGA,235947.097,,,,,0,0,,,M,,M,,*56
2024-03-03T12:10:19.262252 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2024-03-03T12:10:19.296626 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GLGSA,A,1,,,,,,,,,,,,,,,*02
2024-03-03T12:10:19.328197 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GPGSV,1,1,00*79
2024-03-03T12:10:19.328235 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GLGSV,1,1,00*65
